// Omega-60 Beam normal vectors
// x, y, z
-1.000000000 0.000000000 0.000000000
0.000000000 -1.000000000 0.000000000
-0.347252786 -0.782219589 0.517250478
0.393457562 0.541547894 0.742911220
0.636627674 0.206852868 -0.742911220
0.347252816 0.782219529 -0.517250538
0.851239681 -0.502239227 0.152140617
0.740705550 -0.654376447 -0.152140662
0.347250253 -0.112828419 0.930960238
0.214610428 0.964777470 -0.152140662
0.214612454 -0.295388669 -0.930960298
0.740710557 0.428718805 0.517250478
0.740710557 -0.428718746 -0.517250538
0.214612454 0.295388728 0.930960238
0.636627913 0.571976185 -0.517250538
0.393458456 0.906666219 0.152140617
-0.000000008 0.365120471 -0.930960298
0.000000047 -0.669389963 0.742911220
0.851239622 0.502239287 -0.152140662
0.636628032 -0.571976125 0.517250478
0.347250223 0.112828434 -0.930960298
0.636627734 -0.206852823 0.742911220
0.740705490 0.654376507 0.152140617
0.347252905 -0.782219529 0.517250478
0.393458545 -0.906666219 -0.152140662
0.983876169 0.094025977 -0.152140662
0.214610517 -0.964777470 0.152140617
0.983876169 -0.094025888 0.152140617
0.178843722 -0.836938977 -0.517250538
0.851242006 -0.088537857 -0.517250538
0.851242006 0.088537939 0.517250478
-0.983876169 -0.094026022 0.152140617
-0.214610383 -0.964777470 0.152140617
-0.983876169 0.094025932 -0.152140662
-0.178843603 -0.836938977 -0.517250538
-0.851242006 -0.088537976 -0.517250538
-0.347250223 0.112828419 -0.930960298
0.000000025 -0.365120530 0.930960238
-0.740705490 0.654376507 0.152140617
-0.393458426 -0.906666279 -0.152140662
-0.000000016 0.669389963 -0.742911220
-0.740710497 -0.428718835 -0.517250538
-0.636627913 -0.571976244 0.517250478
-0.851239622 0.502239287 -0.152140662
-0.393457502 -0.541547894 -0.742911220
-0.636627674 -0.206852913 0.742911220
-0.214612469 0.295388699 0.930960238
-0.636627972 0.571976185 -0.517250538
-0.740710557 0.428718776 0.517250478
-0.393458515 0.906666219 0.152140617
-0.851239622 -0.502239347 0.152140617
-0.347250253 -0.112828463 0.930960238
-0.636627674 0.206852838 -0.742911220
-0.740705431 -0.654376566 -0.152140662
-0.214612424 -0.295388699 -0.930960298
-0.851242006 0.088537902 0.517250478
-0.178843692 0.836938977 0.517250478
-0.214610472 0.964777470 -0.152140662
-0.393457562 0.541547835 0.742911220
-0.347252846 0.782219529 -0.517250538
